;arachidate (20:0);erucate (22:1n9);3-hydroxy-2-ethylpropionate;lanthionine;X-21752;X-12126;X-12216;indolelactate;3-hydroxypyridine sulfate;3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**;X-13729;X-24811;deoxycarnitine;N-acetylcarnosine;5alpha-androstan-3alpha,17beta-diol monosulfate (2);1-stearyl-2-arachidonoyl-GPC (O-18:0/20:4)*;N,N,N-trimethyl-alanylproline betaine (TMAP);(S)-a-amino-omega-caprolactam;X-12822;X-23654;X-24328;Rothia mucilaginosa;Parascardovia denticolens;Drancourtella sp An57;Atopobium deltae;Streptococcus salivarius;Veillonella parvula;Veillonella atypica;Streptococcus gordonii;Lactobacillales;Enterocloster SGB14313;Firmicutes unclassified 1;Eubacteriales unclassified 1;Firmicutes unclassified 2;Eubacteriales unclassified 2;Methanobrevibacter smithii;;;
X-13729;0.0732469178503642;0.137455175107406;0.38702804932895;0.306795864299504;0.123516696953391;0.624958134268443;0.712188071527443;0.199200876650197;0.346674430732733;0.347891672422044;1;0.312147031424226;0.150303233717423;0.0756900875285088;-0.0202382464662055;0.0967574778153299;0.27543055836531;0.267922799642268;0.190184318257107;0.233080364792485;-0.00912425096892891;-0.0544946223621831;0.106166081112918;-0.0608045248853802;-0.0965498448850028;-0.122903249108803;-0.0611881958860733;-0.0308069281053634;0.0309810325237503;0.0546693589429999;0.20548926797348;0.189731264732685;0.224385310932205;0.221293498360309;0.20075391292338;0.22366606433246;;;
X-24811;0.019450392855609;0.0636412062715782;0.212124998058361;0.292174065244164;0.0725549483606884;0.397075137935709;0.249802803333788;0.249843364275936;0.875893140347226;0.179000817907973;0.312147031424226;1;0.13496713898496;0.0775846705339369;0.0528710327629249;0.0138878596390159;0.246454004484559;0.236845276822325;0.13530535387176;0.285612749459576;-0.0900158318572017;0.104431366127412;0.136149301339346;-0.0655853953106927;-0.0729868738483215;-0.0720746490072769;0.0255615976583475;0.0991635277223818;0.0648225643563218;0.066578009484226;0.038306528913315;0.140893813967389;0.147250449175932;0.139275002119471;0.143360427668641;0.13406966915426;;;
deoxycarnitine;-0.0949106547144612;-0.0725658721042901;0.164240329555047;0.19973934510172;-0.0624548652355862;0.0208059205490973;0.0743748197766429;0.301683545122236;0.184690300341258;0.17733227035716;0.150303233717423;0.13496713898496;1;0.46558301115872;0.381318622855273;0.140413578694757;0.538431442809712;0.356147063490886;0.255980599945989;0.250610364444437;0.201996917754624;0.0627744274401052;0.0404777636272523;-0.0116644192897872;-0.0292357998072697;0.0744460472814268;0.0107130322877761;0.0302057251247359;0.0963858410624882;0.0594356827822214;0.0274309672843742;0.0418166930242641;0.0622380271492014;0.00720747867263902;0.0443469858781221;-0.0211880106362016;;;
N-acetylcarnosine;-0.130248769633277;-0.0844094049478255;0.163461596248664;0.13938493854622;-0.0470535502028728;0.0601038965333648;0.0800571104757164;0.47383936957975;0.150377094628919;0.13977875136405;0.0756900875285088;0.0775846705339369;0.46558301115872;1;0.592936219326859;0.1371801787045;0.544679981922512;0.279366254940619;0.213931109094952;0.257655298094647;0.337647829900164;-0.0556769182846754;-0.0613461530328974;-0.0552775113509477;-0.00969710073232886;-0.0814353463660376;-0.106639431478008;-0.0771756388685413;-0.0409660228650036;-0.0738266476968787;-0.00136544485760621;0.0517586280183008;0.0853826828827558;0.0478011864045783;0.058017926051798;-0.0101540751892808;;;
5alpha-androstan-3alpha 17beta-diol monosulfate (2);-0.0662850147086782;-0.0219742323673639;0.134449274104521;-0.092168056081499;-0.0741408655913708;-0.0529299029529405;-0.0234169541405397;0.355332267337602;0.0965321172697428;0.00414616320479275;-0.0202382464662055;0.0528710327629249;0.381318622855273;0.592936219326859;1;0.13171681050964;0.369824321763024;0.161889445022861;0.0960504595459068;0.184136242381816;0.382158560464338;-0.0673700089237657;-0.0240087588840144;-0.076696773480963;-0.0477780660158634;-0.0887888119231306;-0.111676985940513;-0.0472866488528101;-0.0674754570023681;-0.0901385879140617;-0.0387929249089731;0.0380147784892257;0.0719770226871568;0.00355495829605796;0.109647028503259;0.0112123748954062;;;
1-stearyl-2-arachidonoyl-GPC (O-18:0/20:4)*;-0.0480457047307183;-0.0676308209025147;0.0170711637840942;-0.0036077569135039;-0.097926033285529;-0.0197026021165264;0.0995384270120877;0.0406087157076377;0.0295224871314286;0.12846599413315;0.0967574778153299;0.0138878596390159;0.140413578694757;0.1371801787045;0.13171681050964;1;0.0793489069733382;0.0165520058080044;0.043368370752352;0.00962342396349388;0.0712077993591058;-0.0652989419388591;-0.0350984741219289;0.0315296831815776;-0.0920896767303095;-0.0278091415101415;-0.0728455131034435;-0.0398223820741449;0.00360658905458226;-0.121655650426952;0.0104313723117223;0.0424440135424772;0.0297326941840726;-0.0358150888232382;-0.0383926593529948;-0.0571043338455458;;;
N-N-N-trimethyl-alanylproline betaine (TMAP);-0.0198468066223932;0.0748369941534809;0.29370593837483;0.341443850154588;0.0347157897488378;0.212638618162786;0.204525378842185;0.448605855816694;0.267220457819173;0.29018817074732;0.27543055836531;0.246454004484559;0.538431442809712;0.544679981922512;0.369824321763024;0.0793489069733382;1;0.436107485034879;0.333048308690142;0.418269274371889;0.155194130978129;0.0967809673958066;0.0560212844513893;-0.0949128824505412;-0.017806539313733;0.034426277098534;-0.017511525109233;-0.000267814957712665;0.0252778940512879;0.0898729161276925;0.0194490051943487;0.0997671930108583;0.0512840831142401;0.0393165576006872;0.0603366886888957;0.0120441789831128;;;
(S)-a-amino-omega-caprolactam;-0.00839216281006532;-0.0114928034463638;0.185464725963478;0.210168489499031;-0.06669800398387;0.18587754559244;0.182046933408514;0.289673495465854;0.231227672512372;0.16134508846766;0.267922799642268;0.236845276822325;0.356147063490886;0.279366254940619;0.161889445022861;0.0165520058080044;0.436107485034879;1;0.295672873419548;0.334731236360845;0.107304282412857;0.0906460886770824;0.145619263037993;0.020917231066478;-0.0063389974379275;0.00318842430388648;-0.0492518645199777;-0.0392289280356561;0.0177579898886372;0.0266526149421089;0.03264566807054;0.110185843294128;0.104616214019842;-0.044440645152724;0.117992537112146;0.0250792593772828;;;
X-12822;0.0346463946712096;0.0697835566584107;0.176741641370079;0.134191241940039;0.0218351492816185;0.0826890119423284;0.144457913368393;0.263423786437353;0.179483797529756;0.267164152929015;0.190184318257107;0.13530535387176;0.255980599945989;0.213931109094952;0.0960504595459068;0.043368370752352;0.333048308690142;0.295672873419548;1;0.192630772061216;0.240772835630593;-0.0283452915210957;0.0334609747404686;-0.0502858054823215;-0.00354936015164605;-0.00663046581551191;-0.0535683841585809;-0.0197673278875493;-0.00182262712454823;0.049011843005696;-0.00922091798370278;0.0275261665816456;0.0309488193380391;-0.0334132572484276;0.00156143316886299;-0.101346175446849;;;
X-23654;-0.139978429956324;-0.0389265622387775;0.196617858233947;0.214057957397658;-0.106720910160398;0.187573897966186;0.150725797485915;0.358904433018462;0.293266380281304;0.170223399476242;0.233080364792485;0.285612749459576;0.250610364444437;0.257655298094647;0.184136242381816;0.00962342396349388;0.418269274371889;0.334731236360845;0.192630772061216;1;-0.0183035808466412;0.0975643746654571;0.11393184745731;0.0255539131735869;-0.0713376622353566;-0.0189879156272225;0.0251291824431013;0.0455235400410836;0.00937807083566737;0.126724862767113;-0.0770983932589546;0.0233477002997712;-0.0440445273052556;0.0319545050228798;-0.0640473903399479;-0.104696877663024;;;
X-24328;0.0597760427723459;0.0535752019798513;0.24973850853591;0.00583189503754296;0.0637093728400016;-0.0661547278410316;0.0497681817852027;0.224356722172164;-0.0521208012611704;0.0723640450995018;-0.00912425096892891;-0.0900158318572017;0.201996917754624;0.337647829900164;0.382158560464338;0.0712077993591058;0.155194130978129;0.107304282412857;0.240772835630593;-0.0183035808466412;1;-0.175379257820569;-0.104835694206872;-0.0486572133303708;-0.0249675221143272;-0.140620107973081;-0.145442027529778;-0.130825148705811;-0.0909412697550123;-0.153323031732595;0.0821657760308202;0.00558827726834448;0.100588491873939;0.000514768442066594;0.0555347480250665;-0.00566044463809113;;;
Rothia mucilaginosa;-0.0722397439023073;-0.0593416060732049;-0.074375375275676;0.0221117652043208;-0.0844977727481781;0.0258042407905361;-0.0573721701672252;0.0207263642792321;0.0711508911225437;-0.0740963535167825;-0.0544946223621831;0.104431366127412;0.0627744274401052;-0.0556769182846754;-0.0673700089237657;-0.0652989419388591;0.0967809673958066;0.0906460886770824;-0.0283452915210957;0.0975643746654571;-0.175379257820569;1;0.181828904455062;0.0541821247105451;-0.0541721944643786;0.21229496780948;0.122959210616436;0.135961015749185;0.0794378411525018;0.287694698402525;-0.00884817326303283;0.0479202972528457;0.0144930187876863;-0.00563413497552578;0.109713042775347;0.051957702051793;;;
Parascardovia denticolens;-0.0779532225332066;-0.0471555131178162;-0.0228501157844928;-0.0140461513994865;-0.0345424240595013;0.120526102757299;0.0552779617414096;0.000978943434113626;0.109337448637875;0.000686475752155771;0.106166081112918;0.136149301339346;0.0404777636272523;-0.0613461530328974;-0.0240087588840144;-0.0350984741219289;0.0560212844513893;0.145619263037993;0.0334609747404686;0.11393184745731;-0.104835694206872;0.181828904455062;1;-0.0256999795968843;-0.019072830589527;0.0630791885402608;-0.0444993835167854;-0.039773842324376;-0.0426599328469634;0.152500930372685;0.4990000000;0.137253201620965;0.0120136420520756;0.00371951283522059;0.00284955358600277;0.00618489153637511;;;
Drancourtella sp An57;-0.0453834748874871;-0.0194468999468021;-0.019437848796183;-0.0188350876292249;-0.0926494140547091;-0.0393709605595007;-0.0566028806213815;-0.0306698238727646;-0.0637884944922138;-0.00692513590700104;-0.0608045248853802;-0.0655853953106927;-0.0116644192897872;-0.0552775113509477;-0.076696773480963;0.0315296831815776;-0.0949128824505412;0.020917231066478;-0.0502858054823215;0.0255539131735869;-0.0486572133303708;0.0541821247105451;-0.0256999795968843;1;-0.0146777211629968;0.0713223033484917;0.0363929077397262;0.0435643767599532;-0.0328294531963031;0.0274821004417102;-0.0372801187324914;-0.0662708372838751;-0.0929652695514769;-0.027255503097337;-0.0705899520894287;-0.0461732861285909;;;
Atopobium deltae;-0.0201938200351819;-0.0104035487045503;-0.0198425121857191;-0.0271800464864373;0.000783088088750242;-0.0576946679066372;-0.0630043442404805;-0.0348573962374245;-0.0559983435877625;-0.0744456933998327;-0.0965498448850028;-0.0729868738483215;-0.0292357998072697;-0.00969710073232886;-0.0477780660158634;-0.0920896767303095;-0.017806539313733;-0.0063389974379275;-0.00354936015164605;-0.0713376622353566;-0.0249675221143272;-0.0541721944643786;-0.019072830589527;-0.0146777211629968;1;0.0285885828737185;-0.025414399288621;-0.0227155576142545;-0.0243638558855434;-0.0274197423669656;-0.069393426528525;-0.0703480206217004;0.0408995510553049;-0.0649235412159309;-0.0725729189255799;-0.0760663593027202;;;
Streptococcus salivarius;-0.0524134555317656;-0.0738942806218682;-0.0984033105309527;0.00842707402522064;-0.0905004100653648;-0.166510210070486;-0.200892043848631;-0.0511121017218953;-0.0859472894680202;-0.0172625784973562;-0.122903249108803;-0.0720746490072769;0.0744460472814268;-0.0814353463660376;-0.0887888119231306;-0.0278091415101415;0.034426277098534;0.00318842430388648;-0.00663046581551191;-0.0189879156272225;-0.140620107973081;0.21229496780948;0.0630791885402608;0.0713223033484917;0.0285885828737185;1;0.318178474224398;0.316905872599629;0.335072453755559;0.350043654192491;-0.167928427995169;-0.184184634581575;-0.31059223452287;-0.151277668200671;-0.176414307317008;-0.114562483551913;;;
Veillonella parvula;0.00370326844885163;-0.0325048266214708;-0.0335990049411905;0.0875872427292696;-0.105412434694521;-0.090222132777236;-0.136926678554149;-0.0619751581562874;0.000789779543108673;-0.0826589107810067;-0.0611881958860733;0.0255615976583475;0.0107130322877761;-0.106639431478008;-0.111676985940513;-0.0728455131034435;-0.017511525109233;-0.0492518645199777;-0.0535683841585809;0.0251291824431013;-0.145442027529778;0.122959210616436;-0.0444993835167854;0.0363929077397262;-0.025414399288621;0.318178474224398;1;0.680986294030826;0.420980095052587;0.394942115220114;-0.0668179487654098;-0.111201773732047;-0.169124496396535;-0.100282421804964;-0.120304267403549;-0.0345594784592296;;;
Veillonella atypica;0.0628684755015317;0.0391746901286169;-0.0103023708534295;0.0294275436383299;-0.0978896880297153;-0.0257483494274142;-0.111206742630637;0.00523956769528577;0.0602486988911962;-0.0363668021320153;-0.0308069281053634;0.0991635277223818;0.0302057251247359;-0.0771756388685413;-0.0472866488528101;-0.0398223820741449;-0.000267814957712665;-0.0392289280356561;-0.0197673278875493;0.0455235400410836;-0.130825148705811;0.135961015749185;-0.039773842324376;0.0435643767599532;-0.0227155576142545;0.316905872599629;0.680986294030826;1;0.427213670352771;0.407444224820599;-0.101684895455946;-0.103261891745704;-0.179762327708893;-0.0803156200482557;-0.0307706239714863;-0.0896365693894661;;;
Streptococcus gordonii;-0.00768377968378499;-0.00820555741899771;-0.0140817387699372;0.0102192276025939;-0.00929578751584664;0.0347427226071187;-0.0163505490472164;0.00717060955968105;0.0541119884885692;-0.00910450502279552;0.0309810325237503;0.0648225643563218;0.0963858410624882;-0.0409660228650036;-0.0674754570023681;0.00360658905458226;0.0252778940512879;0.0177579898886372;-0.00182262712454823;0.00937807083566737;-0.0909412697550123;0.0794378411525018;-0.0426599328469634;-0.0328294531963031;-0.0243638558855434;0.335072453755559;0.420980095052587;0.427213670352771;1;0.381549609129334;-0.0598094561745032;-0.0971850649847577;-0.101914916740048;-0.0416748981900133;-0.0570622564781307;-0.0701218737199358;;;
Lactobacillales;-0.0440809502762588;-0.0211348064185541;0.0465983640987297;0.0301529275854576;-0.112547469803174;0.0238930834815937;-0.0466964355794547;0.0384540386235914;0.0534539762580187;0.0281747162695725;0.0546693589429999;0.066578009484226;0.0594356827822214;-0.0738266476968787;-0.0901385879140617;-0.121655650426952;0.0898729161276925;0.0266526149421089;0.049011843005696;0.126724862767113;-0.153323031732595;0.287694698402525;0.152500930372685;0.0274821004417102;-0.0274197423669656;0.350043654192491;0.394942115220114;0.407444224820599;0.381549609129334;1;-0.0785946231494569;-0.0556492686048914;-0.146769244289377;-0.0506270072536334;-0.0137720727112965;-0.0680933938861565;;;
Enterocloster SGB14313;0.180398640189564;0.132863178729594;0.0847008277157573;0.0471784202105383;0.257899949759233;0.26640765242398;0.26850115596947;-0.0056639842347821;0.0561662250853723;0.0839570604484567;0.20548926797348;0.038306528913315;0.0274309672843742;-0.00136544485760621;-0.0387929249089731;0.0104313723117223;0.0194490051943487;0.03264566807054;-0.00922091798370278;-0.0770983932589546;0.0821657760308202;-0.00884817326303283;0.4990000000;-0.0372801187324914;-0.069393426528525;-0.167928427995169;-0.0668179487654098;-0.101684895455946;-0.0598094561745032;-0.0785946231494569;1;0.331410463847354;0.419775831598833;0.334955234001609;0.353080749803445;0.355475592109971;;;
Firmicutes unclassified 1;0.0612243348841007;0.0886821796504667;0.129472519059926;0.126358216749975;0.0917183866892802;0.231983732462262;0.201899576802497;0.0231961200332152;0.178690674850249;0.0821815021857151;0.189731264732685;0.140893813967389;0.0418166930242641;0.0517586280183008;0.0380147784892257;0.0424440135424772;0.0997671930108583;0.110185843294128;0.0275261665816456;0.0233477002997712;0.00558827726834448;0.0479202972528457;0.137253201620965;-0.0662708372838751;-0.0703480206217004;-0.184184634581575;-0.111201773732047;-0.103261891745704;-0.0971850649847577;-0.0556492686048914;0.331410463847354;1;0.347783144040216;0.269488059100756;0.420719747988036;0.262606860659192;;;
Eubacteriales unclassified 1;0.0860273599934737;0.063157986340508;0.128283432110399;0.117380387913924;0.182000479067046;0.353872444757072;0.346699938634317;0.0723440574385062;0.16626369992815;0.134730654616563;0.224385310932205;0.147250449175932;0.0622380271492014;0.0853826828827558;0.0719770226871568;0.0297326941840726;0.0512840831142401;0.104616214019842;0.0309488193380391;-0.0440445273052556;0.100588491873939;0.0144930187876863;0.0120136420520756;-0.0929652695514769;0.0408995510553049;-0.31059223452287;-0.169124496396535;-0.179762327708893;-0.101914916740048;-0.146769244289377;0.419775831598833;0.347783144040216;1;0.338098998280015;0.429479535228511;0.321982281281356;;;
Firmicutes unclassified 2;0.104521908271151;0.152813835100172;0.185355629679351;0.146550436441268;0.176284009045631;0.25913557196615;0.268368143746731;0.0621466850483564;0.182535693864997;0.160390213877873;0.221293498360309;0.139275002119471;0.00720747867263902;0.0478011864045783;0.00355495829605796;-0.0358150888232382;0.0393165576006872;-0.044440645152724;-0.0334132572484276;0.0319545050228798;0.000514768442066594;-0.00563413497552578;0.00371951283522059;-0.027255503097337;-0.0649235412159309;-0.151277668200671;-0.100282421804964;-0.0803156200482557;-0.0416748981900133;-0.0506270072536334;0.334955234001609;0.269488059100756;0.338098998280015;1;0.405520888361589;0.281239810392019;;;
Eubacteriales unclassified 2;0.0812937309297575;0.0500370689663376;0.0804361598762394;0.057104183589685;0.124673330843383;0.254204308648798;0.234985378859509;-0.0378713040407513;0.151403211391645;-0.00761666190311811;0.20075391292338;0.143360427668641;0.0443469858781221;0.058017926051798;0.109647028503259;-0.0383926593529948;0.0603366886888957;0.117992537112146;0.00156143316886299;-0.0640473903399479;0.0555347480250665;0.109713042775347;0.00284955358600277;-0.0705899520894287;-0.0725729189255799;-0.176414307317008;-0.120304267403549;-0.0307706239714863;-0.0570622564781307;-0.0137720727112965;0.353080749803445;0.420719747988036;0.429479535228511;0.405520888361589;1;0.322422719675086;;;
Methanobrevibacter smithii;0.119218434531165;0.0357552903906234;0.0280956262584726;0.111868118221451;0.195762082755988;0.334205382292665;0.292537557335519;0.00413179597002208;0.138574574747417;0.0222330871080626;0.22366606433246;0.13406966915426;-0.0211880106362016;-0.0101540751892808;0.0112123748954062;-0.0571043338455458;0.0120441789831128;0.0250792593772828;-0.101346175446849;-0.104696877663024;-0.00566044463809113;0.051957702051793;0.00618489153637511;-0.0461732861285909;-0.0760663593027202;-0.114562483551913;-0.0345594784592296;-0.0896365693894661;-0.0701218737199358;-0.0680933938861565;0.355475592109971;0.262606860659192;0.321982281281356;0.281239810392019;0.322422719675086;1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
